patent_type,composition_subtype,cmc_subtype,clinical_indications,clinical_population,reasoning_short,lens_id,error
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on a composition comprising a CD38-binding fusion protein, which includes an anti-CD38 antibody fused to an attenuated interferon alpha-2b. The claims detail the specific sequences and components of the fusion protein, indicating a focus on the antibody component of the ADC.",198-989-501-679-591,
Composition,Full ADC,,[],[],"The patent claims a compound that includes an antibody, a linker, and a payload, which classifies it as a 'Full ADC'. The primary focus is on the composition of the antibody-drug conjugate rather than its clinical application or manufacturing process.",002-788-259-135-676,
Composition,Full ADC,,[],[],"The patent's broadest independent claim is for an antibody-drug conjugate comprising an anti-Claudin 6 monoclonal antibody, a linking structure, and a drug. This indicates a 'Full ADC' composition as it specifies all three components: antibody, linker, and payload.",193-043-611-661-14X,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) that specifies the antibody, linker, and payload components. This indicates a 'Full ADC' composition subtype as it encompasses all three essential components of an ADC.",010-952-565-564-016,
Composition,Full ADC,,[],[],"The primary claim is directed to a conjugate comprising an antibody capable of binding to MUC1, a linker, and a cytotoxic agent, which classifies it as a 'Full ADC'. The claims focus on the specific structure and components of the ADC rather than methods of treatment or manufacturing processes.",189-353-655-579-550,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on isolated antibodies that bind to ICOS, with detailed claims on the antibody sequences and structures. Although there are method-of-treatment claims, the broadest independent claims are directed towards the composition of the antibodies themselves, classifying it as an 'Unconjugated Antibody'.",164-003-353-468-153,
Composition,Full ADC,,[],[],"The patent claims a ligand drug conjugate with a specified structure, including a monoclonal or polyclonal antibody, a PEG linker, and a drug payload. This indicates a full ADC composition as all three components are defined in the claims.",189-990-917-959-855,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards a myeloid cell agonist conjugate, which includes an anti-Nectin-4 antibody, a linker, and a TLR8 agonist payload. This indicates a full ADC composition, as all three components are specified in the claims.",007-082-582-098-198,
Composition,Unconjugated Payload,,[],[],"The primary focus of the patent is on the crystalline forms of a specific chemical compound and its salts, which are intermediates. The claims are centered around the composition of these crystalline forms, making it a composition patent with an unconjugated payload subtype.",008-658-197-665-673,
Clinical,,,['breast cancer'],['drug-resistant breast cancer cells'],"The broadest independent claims focus on the use of a monoclonal antibody and exosome combination for treating breast cancer, specifically targeting drug-resistant cells. This indicates a primary focus on clinical application rather than composition or manufacturing.",023-756-890-459-723,
Clinical,,,"['bladder cancer', 'breast cancer', 'head and neck cancer', 'lung cancer', 'ovarian cancer', 'pancreatic cancer', 'prostate cancer', 'colorectal cancer']","['head and neck squamous cell carcinoma', 'non-small cell lung cancer', 'metastatic castration-resistant prostate cancer']","The patent's broadest independent claim is directed towards a method of treating cancer using a combination of A2A/A2B and PD-1/PD-L1 inhibitors. The claims focus on specific cancer types and patient populations, indicating a clinical focus.",009-718-642-595-406,
Composition,Conjugated Antibody,,[],[],"The primary focus of the claims is on an isolated molecule comprising a targeting moiety that specifically binds to EGFR and an immunomodulatory moiety. This indicates a conjugated antibody, as the claims specify the antibody and the immunomodulatory component, but do not detail a linker or payload.",010-178-776-513-462,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) that specifies the antibody, linker, and payload components. This indicates a 'Full ADC' composition subtype as all three components are defined in the claims.",017-206-772-271-216,
Clinical,,,"['melanoma', 'non-small cell lung cancer', 'head and neck cancer', 'urothelial cancer', 'breast cancer', 'gastrointestinal cancer', 'multiple myeloma', 'hepatocellular cancer', 'non-Hodgkin lymphoma', 'renal cancer', 'Hodgkin lymphoma', 'mesothelioma', 'ovarian cancer', 'small cell lung cancer', 'esophageal cancer', 'anal cancer', 'biliary tract cancer', 'colorectal cancer', 'cervical cancer', 'thyroid cancer', 'endometrial cancer', 'squamous cell carcinoma', 'salivary cancer', 'gastric cancer', 'gastroesophageal junction adenocarcinoma', 'primary mediastinal large B-cell lymphoma', 'Merkel cell carcinoma']","['tumor with a high mutational burden', 'microsatellite instability-high (MSI-H) or mismatch repair deficient solid tumor', 'unresectable or metastatic melanoma', 'metastatic non-small cell lung cancer', 'recurrent or metastatic head and neck squamous cell cancer', 'refractory classical Hodgkin lymphoma', 'relapsed after 3 or more lines of therapy for cHL', 'locally advanced or metastatic urothelial carcinoma', 'resected high-risk stage III melanoma', 'recurrent, locally advanced or metastatic Merkel cell carcinoma']","The patent's broadest independent claim focuses on a method of treating cancer using an anti-PD-1 antibody, specifically detailing dosing regimens and patient populations. Therefore, it is classified under 'Clinical' with various cancer indications and specific patient populations explicitly claimed.",019-331-652-130-780,
Composition,Unconjugated Payload,,[],[],"The primary focus of the patent is on a compound that inhibits SUV39H1 methyltransferase activity, which is a small molecule drug. The claims are centered around the chemical structure and composition of this compound, classifying it as an unconjugated payload.",021-060-011-334-724,
Clinical,,,['epilepsy'],"['medically refractory epilepsy', 'surgically refractory epilepsy']","The patent's broadest independent claim focuses on a method of treating CNS disorders, specifically epilepsy, using a composition of nanoparticles with an mTOR inhibitor and albumin. The claims detail dosing regimens and combination therapies, indicating a clinical focus.",024-187-221-008-297,
Clinical,,,"['cancer', 'metastases', 'hypoxic cancer']",[],"The primary focus of the patent is on methods of treating cancer using a combination of a loop diuretic and an angiogenesis inhibitor. The broadest independent claim is a method of treatment, indicating a clinical patent type.",035-560-970-653-949,
Clinical,,,"['cancer', 'metastatic cancer']",[],The primary focus of the patent is on methods of treating cancer through intraoperative administration of a biomaterial and an activator of innate immunity at a tumor resection site. The claims emphasize treatment methods rather than the composition of the drug delivery system itself.,034-882-384-891-456,
Composition,Full ADC,,[],[],"The primary claim is directed to an antibody-drug conjugate compound, specifying the antibody, linker, and payload components. This indicates a 'Full ADC' composition subtype as all three components are defined in the claims.",056-076-863-940-675,
Composition,Conjugated Antibody,,[],[],"The broadest independent claim focuses on an anti-Claudin 18.2 antibody and its antigen-binding fragments, which are used in an antibody-drug conjugate. The claims specify the antibody component, while the linker and payload are broadly defined, classifying it as a 'Conjugated Antibody'.",059-014-251-292-254,
Composition,Dual Combination,,[],[],"The primary claim is directed to a kit comprising a combination of an albumin-bound chemotherapeutic/anti-VEGF antibody complex and a sub-therapeutic dose of an anti-VEGF antibody. This indicates a focus on the composition of these components, specifically the combination of the antibody and chemotherapeutic agent.",051-131-444-531-962,
